ts,swLong,swLat,neLong,neLat,tweet
1341873857,-0.2159633,51.48387,-0.109978,51.539768,"midnight metamorphosis http://t.co/ZeKky3I3"
1341873857,-0.213503,51.512805,-0.105303,51.572068,"Sleath tomorrow... o dear"
1341873859,-0.5093057,51.286606,0.334433,51.691672,"#happyBirthday #GOMEZ #MG33"
1341873860,-0.39216,51.391508,-0.221832,51.489578,"@MARNIEKEELING why wouldn't you? They say it for women and it's just as true for men! X"
1341873861,-0.2284741,51.477157,-0.1497908,51.5303498,"@FabriFasanella @gemasiero hahah si proprio, fasaa cosa gli stai dicendo che sei dietro l'angoloo! Hahahaha"
1341873863,-0.1415223,51.5185518,-0.076305,51.5749096,"@simonnash1980 thank u puta!x"
1341873863,-0.419679,51.491499,-0.243335,51.559366,"@BaileyBYoung LOL my dads watching it, his face was like 😱😂 didn't know how to react hahaha"
1341873864,-0.2159633,51.48387,-0.109978,51.539768,"@Rizihan LOOOOOOOOOOOOOL you know you love the pic ;)"
1341873865,-0.2159633,51.48387,-0.109978,51.539768,"Two Inch Punch – Moon Struck http://t.co/50FHq9t8 #Radio1 #NowPlaying"
1341873865,-0.2159633,51.48387,-0.109978,51.539768,"chillest playlist"
1341873865,-0.5093057,51.286606,0.334433,51.691672,#BMX
1341873867,-0.39216,51.391508,-0.221832,51.489578,"Skyping my sweetheart @claralester28 http://t.co/v2BknEr5"
1341873870,-0.2159633,51.48387,-0.109978,51.539768,"@brainyardeest Follow back?"
1341873873,-0.457447,51.420633,-0.243419,51.502851,"@ems_loves_911 Oooo I see! Good stuff :-) x"
1341873873,-0.5093057,51.286606,0.334433,51.691672,"I love my icon."
1341873874,-0.2159633,51.48387,-0.109978,51.539768,"Cardiacs – Buds And Spawn - BBC Session 29/11/1987 http://t.co/iWSSm16c #6Music #NowPlaying"
1341873876,-0.2159633,51.48387,-0.109978,51.539768,"Acabei de publicar uma foto  @ Regent Street http://t.co/Y5M3YBct"
